Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Wisconsin,10/25 - 11/2@@23674,"1,305 LV@@1305",NYT/Siena,48.5,46,D+ 2.5@@-2.5,1.548527,D
Wisconsin,10/27 - 10/30@@23676,"1,330 LV@@1330",Marist College,50,48,D+ 2@@-2,1.390154,D
Wisconsin,10/28 - 10/30@@23677,831 LV@@831,TIPP Insights,48,47.5,D+ 0.5@@-.5,1.13004,D
Wisconsin,10/25 - 10/29@@23674,"1,470 LV@@1470",AtlasIntel,48.3,48.85,R+ 0.5@@.5,1.074297,R
Wisconsin,11/1 - 11/2@@23681,728 LV@@728,AtlasIntel,48.3,49.45,R+ 1.2@@1.2,1.035661,R
Wisconsin,10/25 - 10/31@@23674,867 LV@@867,YouGov,50,46,D+ 4@@-4,0.9676128,D
Wisconsin,10/30 - 10/31@@23679,673 LV@@673,AtlasIntel,48.6,48.65,R+ 0.1@@.1,0.91901,R
Wisconsin,10/27 - 10/30@@23676,600 LV@@600,Echelon Insights,48.5,48.5,Even@@0,0.9114899,E
Wisconsin,11/1 - 11/3@@23681,835 RV@@835,Patriot Polling,49,48.7,D+ 0.3@@-.3,0.8301786,D
Wisconsin,10/21 - 10/22@@23670,800 LV@@800,Emerson College,49.2,49.9,R+ 0.7@@.7,0.8189439,R
Wisconsin,11/1 - 11/2@@23681,800 LV@@800,InsiderAdvantage,48,49,R+ 1@@1,0.8140967,R
Wisconsin,10/16 - 10/24@@23665,753 LV@@753,Marquette University Law School,48,46.5,D+ 1.5@@-1.5,0.8037264,D
Wisconsin,10/29 - 10/31@@23678,800 LV@@800,OnMessage,47,48,R+ 1@@1,0.729082,R
Wisconsin,10/17 - 10/21@@23666,"1,108 LV@@1108",Quinnipiac,48,48,Even@@0,0.7265663,E
Wisconsin,10/20 - 10/23@@23669,500 LV@@500,Suffolk University,46.6,48,R+ 1.4@@1.4,0.6915427,R
Wisconsin,10/23 - 10/28@@23672,736 LV@@736,SSRS,51,45,D+ 6@@-6,0.67958,D
Wisconsin,10/25 - 10/29@@23674,818 LV@@818,Rasmussen Reports,47,50,R+ 3@@3,0.6369348,R
Wisconsin,10/26 - 10/27@@23675,800 LV@@800,InsiderAdvantage,48,49,R+ 1@@1,0.6248074,R
Wisconsin,10/22 - 10/31@@23671,540 LV@@540,Morning Consult,47.6,48.2,R+ 0.6@@.6,0.6018581,R
Wisconsin,10/18 - 10/20@@23667,"1,083 LV@@1083",Trafalgar Group,46.6,46.8,R+ 0.2@@.2,0.5345708,R
Wisconsin,10/12 - 10/17@@23661,932 LV@@932,AtlasIntel,48.95,48.3,D+ 0.7@@-.7,0.5275735,D
Wisconsin,10/28 - 10/31@@23677,932 LV@@932,Redfield & Wilton,48,47,D+ 1@@-1,0.5184345,D
Wisconsin,10/1 - 10/25@@23650,"1,542 LV@@1542",YouGov,50,47,D+ 3@@-3,0.460027,D
Wisconsin,10/10 - 10/16@@23659,787 LV@@787,RMG Research,49,50,R+ 1@@1,0.3814146,R
Wisconsin,10/11 - 10/18@@23660,600 LV@@600,Bullfinch,49,46.5,D+ 2.5@@-2.5,0.3685341,D
Wisconsin,10/16 - 10/20@@23665,624 LV@@624,Morning Consult,47.5,47.5,Even@@0,0.3629574,E
Wisconsin,10/25 - 10/27@@23674,746 LV@@746,Redfield & Wilton,49,47,D+ 2@@-2,0.3575758,D
Wisconsin,10/5 - 10/8@@23654,"1,000 LV@@1000",Emerson College,49.2,49.9,R+ 0.7@@.7,0.3370374,R
Wisconsin,10/19 - 10/22@@23668,600 LV@@600,OnMessage,47,48,R+ 1@@1,0.3201388,R
Wisconsin,9/30 - 10/15@@23649,695 LV@@695,The Washington Post,50,47,D+ 3@@-3,0.3187887,D
Wisconsin,10/3 - 10/7@@23652,"1,073 LV@@1073",Quinnipiac,46.5,48.5,R+ 2@@2,0.2750863,R
Wisconsin,10/9 - 10/14@@23658,"1,004 LV@@1004",Rasmussen Reports,47,49,R+ 2@@2,0.271518,R
Wisconsin,10/12 - 10/14@@23661,803 RV@@803,Patriot Polling,49,50,R+ 1@@1,0.2683736,R
Wisconsin,10/8 - 10/9@@23657,800 LV@@800,InsiderAdvantage,48,48,Even@@0,0.2394269,E
Wisconsin,10/20 - 10/22@@23669,557 LV@@557,Redfield & Wilton,49,47,D+ 2@@-2,0.2372058,D
Wisconsin,10/6 - 10/15@@23655,527 LV@@527,Morning Consult,47,48,R+ 1@@1,0.2122982,R
Wisconsin,10/5 - 10/7@@23654,450 LV@@450,Research Co.,50,48,D+ 2@@-2,0.2025485,D
Wisconsin,10/16 - 10/18@@23665,622 LV@@622,Redfield & Wilton,47,46,D+ 1@@-1,0.2009585,D
Wisconsin,10/6 - 10/9@@23655,800 LV@@800,"Fabrizio, Lee/McLaughlin",48,49,R+ 1@@1,0.1882225,R
Wisconsin,10/12 - 10/14@@23661,641 LV@@641,Redfield & Wilton,48,47,D+ 1@@-1,0.1627381,D
Wisconsin,10/2 - 10/6@@23651,700 LV@@700,Arc Insights,47,48,R+ 1@@1,0.137854,R
