Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Arizona,10/25 - 11/2@@23674,"1,025 LV@@1025",NYT/Siena,44.5,48.5,R+ 4@@4,1.345566,R
Arizona,10/30 - 11/2@@23679,900 LV@@900,Emerson College,48.7,50.8,R+ 2.1@@2.1,1.232772,R
Arizona,11/3 - 11/4@@23683,875 LV@@875,AtlasIntel,46.2,51.3,R+ 5.1@@5.1,1.006922,R
Arizona,11/1 - 11/2@@23681,967 LV@@967,AtlasIntel,45.45,52.1,R+ 6.6@@6.6,0.9575637,R
Arizona,10/25 - 10/30@@23674,"1,079 LV@@1079",Data for Progress,47,48,R+ 1@@1,0.9422259,R
Arizona,10/25 - 10/29@@23674,"1,458 LV@@1458",AtlasIntel,46.85,50.7,R+ 3.9@@3.9,0.9147515,R
Arizona,10/30 - 10/31@@23679,"1,005 LV@@1005",AtlasIntel,46.35,50.9,R+ 4.6@@4.6,0.8999168,R
Arizona,10/17 - 10/22@@23666,"1,193 LV@@1193",Marist College,49,50,R+ 1@@1,0.8981364,R
Arizona,11/1 - 11/2@@23681,800 LV@@800,InsiderAdvantage,46.2,49.1,R+ 2.9@@2.9,0.8712187,R
Arizona,10/26 - 10/28@@23675,550 LV@@550,Data Orbital,41.9,49.7,R+ 7.8@@7.8,0.8493602,R
Arizona,10/25 - 10/31@@23674,856 LV@@856,YouGov,48.5,49,R+ 0.5@@.5,0.846996,R
Arizona,11/2 - 11/3@@23682,750 LV@@750,Victory Insights,48.4,49.2,R+ 0.8@@.8,0.8423739,R
Arizona,10/28 - 10/30@@23677,775 LV@@775,OH Predictive Insights,47,48,R+ 1@@1,0.8381912,R
Arizona,10/29 - 10/31@@23678,800 LV@@800,OnMessage,47,50,R+ 3@@3,0.8060486,R
Arizona,11/1 - 11/3@@23681,801 RV@@801,Patriot Polling,47.6,51.1,R+ 3.5@@3.5,0.7884988,R
Arizona,11/1 - 11/3@@23681,"1,090 LV@@1090",Trafalgar Group,47.1,49.2,R+ 2.1@@2.1,0.7124547,R
Arizona,10/25 - 10/29@@23674,803 LV@@803,Rasmussen Reports,46,48,R+ 2@@2,0.6679139,R
Arizona,10/21 - 10/26@@23670,781 LV@@781,SSRS,48,47,D+ 1@@-1,0.6123391,D
Arizona,10/24 - 10/26@@23673,500 LV@@500,J.L. Partners,48,49,R+ 1@@1,0.6026633,R
Arizona,10/12 - 10/17@@23661,"1,440 LV@@1440",AtlasIntel,48.95,49.2,R+ 0.3@@.3,0.5818868,R
Arizona,10/28 - 10/28@@23677,610 LV@@610,Mitchell Research,48,50,R+ 2@@2,0.5634784,R
Arizona,10/3 - 11/1@@23652,"1,779 LV@@1779",Focaldata,48,49,R+ 1@@1,0.5560732,R
Arizona,10/21 - 10/30@@23670,666 LV@@666,Morning Consult,48.3,48.4,R+ 0.1@@.1,0.554713,R
Arizona,10/25 - 10/27@@23674,589 RV@@589,RABA Research,45,43,D+ 2@@-2,0.5522659,D
Arizona,10/19 - 10/20@@23668,800 LV@@800,InsiderAdvantage,47,49.5,R+ 2.5@@2.5,0.4950587,R
Arizona,10/24 - 10/26@@23673,"1,094 LV@@1094",Trafalgar Group,46,48.1,R+ 2.1@@2.1,0.4619562,R
Arizona,10/7 - 10/10@@23656,808 LV@@808,NYT/Siena,45.5,50.5,R+ 5@@5,0.4604664,R
Arizona,10/19 - 10/20@@23668,400 LV@@400,HighGround,46.2,46.8,R+ 0.6@@.6,0.4386321,R
Arizona,10/28 - 10/31@@23677,652 LV@@652,Redfield & Wilton,47,48,R+ 1@@1,0.4216289,R
Arizona,10/1 - 10/25@@23650,"2,066 LV@@2066",YouGov,47,51,R+ 4@@4,0.4214225,R
Arizona,10/11 - 10/16@@23660,"1,435 LV@@1435",YouGov,48,51,R+ 3@@3,0.4166522,R
Arizona,10/12 - 10/20@@23661,846 RV@@846,U. Arizona/TrueDot,46.15,45.48,D+ 0.7@@-.7,0.4142527,D
Arizona,10/16 - 10/20@@23665,861 LV@@861,Morning Consult,48.5,48.5,Even@@0,0.3812953,E
Arizona,10/25 - 10/27@@23674,901 LV@@901,Redfield & Wilton,47,49,R+ 2@@2,0.3567786,R
Arizona,10/5 - 10/8@@23654,"1,000 LV@@1000",Emerson College,48.2,50.5,R+ 2.3@@2.3,0.3513722,R
Arizona,9/30 - 10/15@@23649,580 LV@@580,The Washington Post,46,49,R+ 3@@3,0.3347004,R
Arizona,10/10 - 10/13@@23659,"1,090 LV@@1090",Trafalgar Group,46,47.5,R+ 1.5@@1.5,0.2531877,R
Arizona,10/20 - 10/22@@23669,710 LV@@710,Redfield & Wilton,46,48,R+ 2@@2,0.243276,R
Arizona,10/6 - 10/15@@23655,653 LV@@653,Morning Consult,49,48,D+ 1@@-1,0.2403548,D
Arizona,10/6 - 10/9@@23655,800 LV@@800,"Fabrizio, Lee/McLaughlin",46,49,R+ 3@@3,0.207748,R
Arizona,10/16 - 10/18@@23665,691 LV@@691,Redfield & Wilton,46,49,R+ 3@@3,0.1970621,R
Arizona,10/12 - 10/14@@23661,"1,141 LV@@1141",Redfield & Wilton,46,48,R+ 2@@2,0.196234,R
Arizona,9/30 - 10/2@@23649,783 LV@@783,RMG Research,46,50,R+ 4@@4,0.1657303,R
Arizona,9/28 - 10/8@@23647,600 RV@@600,Fabrizio/GBAO,47.5,45.5,D+ 2@@-2,0.1599588,D
Arizona,9/29 - 9/30@@23648,800 LV@@800,InsiderAdvantage,47.7,49.1,R+ 1.4@@1.4,0.1183478,R
Arizona,9/27 - 9/28@@23646,920 LV@@920,Emerson College,47.6,51.7,R+ 4.1@@4.1,0.0961461,R
Arizona,9/27 - 10/2@@23646,555 LV@@555,Redfield & Wilton,47,48,R+ 1@@1,0.0800801,R
Arizona,9/24 - 10/2@@23643,500 LV@@500,OnMessage,45,47,R+ 2@@2,0.0776417,R
Arizona,9/24 - 10/1@@23643,600 LV@@600,"Fabrizio, Lee/Impact Research",47.5,49.5,R+ 2@@2,0.0722918,R
Arizona,9/26 - 9/29@@23645,500 LV@@500,HighGround,47.6,45.4,D+ 2.2@@-2.2,0.0666197,D
Arizona,9/25 - 9/29@@23644,600 LV@@600,National Research,47,46,D+ 1@@-1,0.0582761,D
Arizona,9/23 - 9/29@@23642,400 LV@@400,Global Strategy Group/North Star Opinion Research,47.5,47,D+ 0.5@@-.5,0.0369739,D
Arizona,8/23 - 8/29@@23611,682 LV@@682,SSRS,44,49,R+ 5@@5,0,R
Arizona,7/29 - 7/30@@23586,618 RV@@618,Public Policy Polling,47,49,R+ 2@@2,0,R
Arizona,8/12 - 8/16@@23600,"1,003 RV@@1003",OH Predictive Insights,43.5,45.5,R+ 2@@2,0,R
Arizona,9/20 - 9/25@@23639,946 LV@@946,AtlasIntel,48.6,49.75,R+ 1.2@@1.2,0,R
Arizona,8/25 - 8/28@@23613,720 LV@@720,Emerson College,47.5,51.2,R+ 3.7@@3.7,0,R
Arizona,9/3 - 9/5@@23622,949 LV@@949,TIPP Insights,47.4,47.25,D+ 0.2@@-.2,0,D
Arizona,7/30 - 8/5@@23587,500 LV@@500,HighGround,44.4,41.6,D+ 2.8@@-2.8,0,D
Arizona,7/22 - 7/24@@23579,510 LV@@510,Redfield & Wilton,43,46,R+ 3@@3,0,R
Arizona,9/19 - 9/24@@23638,"1,264 LV@@1264",Marist College,49,50,R+ 1@@1,0,R
Arizona,7/19 - 7/20@@23576,736 RV@@736,Public Policy Polling,40,46,R+ 6@@6,0,R
Arizona,8/14 - 8/20@@23602,600 LV@@600,Spry Strategies,46.85,47.55,R+ 0.7@@.7,0,R
Arizona,8/6 - 8/16@@23594,702 LV@@702,Focaldata,46.75,48.65,R+ 1.9@@1.9,0,R
Arizona,9/15 - 9/18@@23634,868 LV@@868,Emerson College,48.7,49.8,R+ 1.1@@1.1,0,R
Arizona,9/7 - 9/9@@23626,550 LV@@550,Data Orbital,46,46.2,R+ 0.2@@.2,0,R
Arizona,9/6 - 9/9@@23625,765 LV@@765,Redfield & Wilton,46,47,R+ 1@@1,0,R
Arizona,9/20 - 9/24@@23639,764 LV@@764,Beacon Research/Shaw & Co.,47.5,50.5,R+ 3@@3,0,R
Arizona,9/3 - 9/16@@23622,"1,097 LV@@1097",Focaldata,50.25,48.75,D+ 1.5@@-1.5,0,D
Arizona,9/9 - 9/18@@23628,862 LV@@862,Morning Consult,48.37,47.35,D+ 1@@-1,0,D
Arizona,9/16 - 9/19@@23635,789 LV@@789,Redfield & Wilton,47,47,Even@@0,0,E
Arizona,7/22 - 7/23@@23579,800 RV@@800,Emerson College,43.6,50.05,R+ 6.5@@6.5,0,R
Arizona,7/29 - 8/5@@23586,600 LV@@600,Iron Light,43,43,Even@@0,0,E
Arizona,7/24 - 7/28@@23581,804 RV@@804,Morning Consult,48.5,45.5,D+ 3@@-3,0,D
Arizona,8/7 - 8/14@@23595,400 RV@@400,Strategies 360,47,46,D+ 1@@-1,0,D
Arizona,8/28 - 8/31@@23616,"1,155 RV@@1155",U. Arizona/TrueDot,41.8,45.75,R+ 4@@4,0,R
Arizona,9/1 - 9/3@@23620,804 RV@@804,Patriot Polling,46.9,48.5,R+ 1.6@@1.6,0,R
Arizona,7/10 - 7/11@@23567,596 RV@@596,Public Policy Polling,44,52,R+ 8@@8,0,R
Arizona,9/19 - 9/25@@23638,926 LV@@926,Morning Consult,49.5,46.5,D+ 3@@-3,0,D
Arizona,8/8 - 8/15@@23596,677 LV@@677,NYT/Siena,48.5,44,D+ 4.5@@-4.5,0,D
Arizona,8/12 - 8/15@@23600,592 LV@@592,Redfield & Wilton,43,44,R+ 1@@1,0,R
Arizona,7/31 - 8/3@@23588,567 LV@@567,Redfield & Wilton,44,43,D+ 1@@-1,0,D
Arizona,9/19 - 9/22@@23638,"1,030 LV@@1030",Rasmussen Reports,47,49,R+ 2@@2,0,R
Arizona,7/26 - 8/2@@23583,435 LV@@435,Benenson Strategy/GS Strategy,47,44,D+ 3@@-3,0,D
Arizona,9/19 - 9/24@@23638,500 LV@@500,Suffolk University,42.4,48.4,R+ 6@@6,0,R
Arizona,9/11 - 9/12@@23630,"1,088 LV@@1088",Trafalgar Group,45.5,47.1,R+ 1.6@@1.6,0,R
Arizona,8/23 - 9/3@@23611,837 LV@@837,YouGov,45,49,R+ 4@@4,0,R
Arizona,8/13 - 8/17@@23601,"1,187 LV@@1187",Rasmussen Reports,44.5,46,R+ 1.5@@1.5,0,R
Arizona,8/30 - 9/8@@23618,901 LV@@901,Morning Consult,46.89,49.05,R+ 2.2@@2.2,0,R
Arizona,7/31 - 8/5@@23588,800 LV@@800,Moore Information,42,44,R+ 2@@2,0,R
Arizona,8/23 - 8/27@@23611,776 LV@@776,Morning Consult,48.5,47.5,D+ 1@@-1,0,D
Arizona,8/25 - 8/28@@23613,530 LV@@530,Redfield & Wilton,45,46,R+ 1@@1,0,R
Arizona,9/17 - 9/21@@23636,713 LV@@713,NYT/Siena,44,49,R+ 5@@5,0,R
Arizona,8/23 - 8/26@@23611,"1,014 RV@@1014",Beacon Research/Shaw & Co.,49,48,D+ 1@@-1,0,D
Arizona,7/15 - 7/16@@23572,800 LV@@800,InsiderAdvantage,42,48,R+ 6@@6,0,R
Arizona,7/31 - 8/8@@23588,600 LV@@600,GSG/GBAO,45.5,47.5,R+ 2@@2,0,R
Arizona,7/23 - 7/29@@23580,400 LV@@400,Public Opinion Strategies,43,48,R+ 5@@5,0,R
Arizona,8/6 - 8/8@@23594,"1,092 LV@@1092",Trafalgar Group,46.5,47.7,R+ 1.2@@1.2,0,R
Arizona,9/19 - 9/25@@23638,409 LV@@409,Benenson Strategy/GS Strategy,50,47.5,D+ 2.5@@-2.5,0,D
Arizona,8/29 - 8/31@@23617,800 LV@@800,InsiderAdvantage,48.4,48.6,R+ 0.2@@.2,0,R
