Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Nevada,10/24 - 11/2@@23673,"1,010 LV@@1010",NYT/Siena,48.5,46,D+ 2.5@@-2.5,1.408821,D
Nevada,10/29 - 10/31@@23678,700 LV@@700,Emerson College,48.6,48.3,D+ 0.3@@-.3,1.12312,D
Nevada,11/1 - 11/2@@23681,782 LV@@782,AtlasIntel,45.95,51.45,R+ 5.5@@5.5,1.063418,R
Nevada,10/30 - 10/31@@23679,845 LV@@845,AtlasIntel,46.95,50.55,R+ 3.6@@3.6,1.004871,R
Nevada,10/25 - 10/29@@23674,"1,083 LV@@1083",AtlasIntel,47.55,48.45,R+ 0.9@@.9,0.9527318,R
Nevada,10/25 - 10/31@@23674,773 LV@@773,YouGov,49,48,D+ 1@@-1,0.9434997,D
Nevada,10/25 - 10/30@@23674,721 LV@@721,Data for Progress,49,47,D+ 2@@-2,0.8856709,D
Nevada,10/28 - 10/31@@23677,593 LV@@593,OH Predictive Insights,49,48,D+ 1@@-1,0.8492326,D
Nevada,10/28 - 10/31@@23677,400 LV@@400,Susquehanna Polling,44.2,50.2,R+ 6@@6,0.8460557,R
Nevada,11/1 - 11/3@@23681,792 RV@@792,Patriot Polling,49.4,49.5,R+ 0.1@@.1,0.8323511,R
Nevada,10/25 - 10/28@@23674,"1,082 LV@@1082",Trafalgar Group,47.8,47.6,D+ 0.2@@-.2,0.6999283,D
Nevada,10/25 - 10/30@@23674,767 LV@@767,Rasmussen Reports,47,49,R+ 2@@2,0.6671317,R
Nevada,10/21 - 10/26@@23670,683 LV@@683,SSRS,47,48,R+ 1@@1,0.615522,R
Nevada,10/19 - 10/20@@23668,800 LV@@800,InsiderAdvantage,47.7,47.9,R+ 0.2@@.2,0.6076297,R
Nevada,10/12 - 10/17@@23661,"1,171 LV@@1171",AtlasIntel,48.25,48.35,R+ 0.1@@.1,0.5720708,R
Nevada,10/28 - 10/31@@23677,690 LV@@690,Redfield & Wilton,47,48,R+ 1@@1,0.4887071,R
Nevada,10/19 - 10/22@@23668,600 LV@@600,OnMessage,47,50,R+ 3@@3,0.4360454,R
Nevada,10/1 - 10/25@@23650,933 LV@@933,YouGov,51,47,D+ 4@@-4,0.3981838,D
Nevada,10/16 - 10/20@@23665,420 LV@@420,Morning Consult,48.5,48,D+ 0.5@@-.5,0.3698799,D
Nevada,10/5 - 10/8@@23654,900 LV@@900,Emerson College,49.2,48.1,D+ 1.1@@-1.1,0.3298782,D
Nevada,10/25 - 10/27@@23674,531 LV@@531,Redfield & Wilton,47,47,Even@@0,0.3287875,E
Nevada,9/30 - 10/15@@23649,652 LV@@652,The Washington Post,48,48,Even@@0,0.3115577,E
Nevada,10/8 - 10/15@@23657,600 LV@@600,"Fabrizio, Lee/Impact Research",46.5,48,R+ 1.5@@1.5,0.3055583,R
Nevada,10/10 - 10/13@@23659,"1,088 LV@@1088",Trafalgar Group,45.6,44.8,D+ 0.8@@-.8,0.2821327,D
Nevada,10/9 - 10/14@@23658,748 LV@@748,Rasmussen Reports,47,49,R+ 2@@2,0.2542967,R
Nevada,10/20 - 10/22@@23669,540 LV@@540,Redfield & Wilton,46,47,R+ 1@@1,0.2428627,R
Nevada,10/6 - 10/15@@23655,496 LV@@496,Morning Consult,49,45,D+ 4@@-4,0.2351093,D
Nevada,10/16 - 10/18@@23665,529 LV@@529,Redfield & Wilton,46,47,R+ 1@@1,0.192456,R
Nevada,10/6 - 10/9@@23655,800 LV@@800,"Fabrizio, Lee/McLaughlin",47,50,R+ 3@@3,0.1882225,R
Nevada,10/12 - 10/14@@23661,838 LV@@838,Redfield & Wilton,47,47,Even@@0,0.1830201,E
Nevada,9/28 - 10/8@@23647,600 RV@@600,Fabrizio/GBAO,42.5,48,R+ 5.5@@5.5,0.135867,R
Nevada,9/30 - 10/3@@23649,782 LV@@782,RMG Research,49,49,Even@@0,0.1350947,E
Nevada,9/29 - 9/30@@23648,800 LV@@800,InsiderAdvantage,48.4,49.3,R+ 0.9@@.9,0.0861627,R
Nevada,9/27 - 10/2@@23646,514 LV@@514,Redfield & Wilton,48,47,D+ 1@@-1,0.0613416,D
Nevada,9/24 - 10/2@@23643,500 LV@@500,OnMessage,45,47,R+ 2@@2,0.0565268,R
Nevada,9/23 - 9/29@@23642,407 LV@@407,Global Strategy Group/North Star Opinion Research,47.5,47,D+ 0.5@@-.5,0.0126322,D
Nevada,9/16 - 9/20@@23635,800 LV@@800,Remington Research,48,49,R+ 1@@1,0,R
Nevada,8/23 - 9/3@@23611,760 LV@@760,YouGov,49,47,D+ 2@@-2,0,D
Nevada,9/1 - 9/3@@23620,788 RV@@788,Patriot Polling,46.8,47,R+ 0.2@@.2,0,R
Nevada,7/23 - 7/29@@23580,400 LV@@400,Public Opinion Strategies,45,46,R+ 1@@1,0,R
Nevada,8/6 - 8/8@@23594,"1,087 LV@@1087",Trafalgar Group,44.8,48.2,R+ 3.4@@3.4,0,R
Nevada,8/12 - 8/15@@23600,677 LV@@677,NYT/Siena,45.5,47,R+ 1.5@@1.5,0,R
Nevada,9/19 - 9/22@@23638,738 LV@@738,Rasmussen Reports,48,49,R+ 1@@1,0,R
Nevada,7/24 - 7/28@@23581,454 RV@@454,Morning Consult,45,44,D+ 1@@-1,0,D
