Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
North Carolina,10/28 - 11/2@@23677,"1,010 LV@@1010",NYT/Siena,48,45.5,D+ 2.5@@-2.5,1.507968,D
North Carolina,11/1 - 11/2@@23681,"1,310 LV@@1310",AtlasIntel,46.95,50.45,R+ 3.5@@3.5,1.224732,R
North Carolina,10/30 - 10/31@@23679,"1,373 LV@@1373",AtlasIntel,46.85,50.7,R+ 3.9@@3.9,1.140607,R
North Carolina,10/24 - 10/28@@23673,872 LV@@872,Beacon Research/Shaw & Co.,48,49.5,R+ 1.5@@1.5,1.085011,R
North Carolina,10/25 - 10/29@@23674,"1,665 LV@@1665",AtlasIntel,48.7,48.4,D+ 0.3@@-.3,1.058176,D
North Carolina,10/25 - 10/31@@23674,949 LV@@949,YouGov,48.5,49.5,R+ 1@@1,0.9854484,R
North Carolina,10/23 - 10/26@@23672,853 LV@@853,SurveyUSA,47,47,Even@@0,0.9840068,E
North Carolina,11/1 - 11/2@@23681,800 LV@@800,InsiderAdvantage,47,49,R+ 2@@2,0.9295423,R
North Carolina,10/17 - 10/22@@23666,"1,226 LV@@1226",Marist College,48,50,R+ 2@@2,0.9248432,R
North Carolina,10/21 - 10/22@@23670,950 LV@@950,Emerson College,48.2,50.2,R+ 2@@2,0.8664557,R
North Carolina,11/1 - 11/3@@23681,799 RV@@799,Patriot Polling,48.9,50.5,R+ 1.6@@1.6,0.8339888,R
North Carolina,10/17 - 10/20@@23666,"1,164 RV@@1164",SurveyUSA,47,46,D+ 1@@-1,0.7893351,D
North Carolina,10/23 - 11/1@@23672,"1,056 LV@@1056",Morning Consult,47.4,49.2,R+ 1.8@@1.8,0.7622257,R
North Carolina,10/16 - 10/23@@23665,650 LV@@650,"University of Massachusetts, Lowell",45,47,R+ 2@@2,0.7168409,R
North Carolina,10/25 - 10/28@@23674,"1,091 LV@@1091",Trafalgar Group,46.2,49.4,R+ 3.2@@3.2,0.7013084,R
North Carolina,10/23 - 10/28@@23672,750 LV@@750,SSRS,48,47,D+ 1@@-1,0.6824848,D
North Carolina,10/25 - 10/30@@23674,751 LV@@751,Rasmussen Reports,47,50,R+ 3@@3,0.6575608,R
North Carolina,10/12 - 10/17@@23661,"1,674 LV@@1674",AtlasIntel,50,48.8,D+ 1.2@@-1.2,0.6256204,D
North Carolina,10/28 - 10/31@@23677,"1,123 LV@@1123",Redfield & Wilton,47,48,R+ 1@@1,0.5377256,R
North Carolina,10/1 - 10/25@@23650,"2,308 LV@@2308",YouGov,48,50,R+ 2@@2,0.5136502,R
North Carolina,10/19 - 10/20@@23668,800 LV@@800,InsiderAdvantage,46.8,48.7,R+ 1.9@@1.9,0.5022924,R
North Carolina,10/12 - 10/14@@23661,600 LV@@600,Cygnal,46.6,47.2,R+ 0.6@@.6,0.463674,R
North Carolina,10/10 - 10/17@@23659,800 RV@@800,Elon University,46,46,Even@@0,0.4568366,E
North Carolina,10/10 - 10/14@@23659,"1,031 LV@@1031",Quinnipiac,49.5,47,D+ 2.5@@-2.5,0.4543963,D
North Carolina,10/25 - 10/27@@23674,770 LV@@770,Redfield & Wilton,46,48,R+ 2@@2,0.3479894,R
North Carolina,10/16 - 10/20@@23665,702 LV@@702,Morning Consult,48,49.5,R+ 1.5@@1.5,0.3476649,R
North Carolina,9/30 - 10/15@@23649,965 LV@@965,The Washington Post,47,50,R+ 3@@3,0.3411445,R
North Carolina,10/5 - 10/8@@23654,"1,000 LV@@1000",Emerson College,49,49.9,R+ 0.9@@.9,0.3125854,R
North Carolina,10/10 - 10/13@@23659,"1,085 LV@@1085",Trafalgar Group,44.6,46.5,R+ 1.9@@1.9,0.2818078,R
North Carolina,10/9 - 10/14@@23658,"1,042 LV@@1042",Rasmussen Reports,46,51,R+ 5@@5,0.2755565,R
North Carolina,10/6 - 10/15@@23655,"1,072 LV@@1072",Morning Consult,48,49,R+ 1@@1,0.2535203,R
North Carolina,10/20 - 10/22@@23669,679 LV@@679,Redfield & Wilton,47,48,R+ 1@@1,0.2459196,R
North Carolina,10/16 - 10/18@@23665,843 LV@@843,Redfield & Wilton,45,48,R+ 3@@3,0.2168024,R
North Carolina,10/6 - 10/9@@23655,800 LV@@800,"Fabrizio, Lee/McLaughlin",47,48,R+ 1@@1,0.1882225,R
North Carolina,10/12 - 10/14@@23661,620 LV@@620,Redfield & Wilton,46,48,R+ 2@@2,0.1540176,R
North Carolina,9/28 - 10/8@@23647,600 RV@@600,Fabrizio/GBAO,46,46.5,R+ 0.5@@.5,0.135867,R
North Carolina,9/29 - 9/30@@23648,800 LV@@800,InsiderAdvantage,49.3,49.5,R+ 0.2@@.2,0.0850504,R
North Carolina,9/27 - 10/2@@23646,753 LV@@753,Redfield & Wilton,45,47,R+ 2@@2,0.0678076,R
North Carolina,9/27 - 9/28@@23646,850 LV@@850,Emerson College,49.1,49.9,R+ 0.8@@.8,0.0570044,R
North Carolina,9/25 - 9/29@@23644,"1,001 LV@@1001",The Washington Post,48,50,R+ 2@@2,0.0494082,R
North Carolina,9/25 - 9/29@@23644,953 LV@@953,Quinnipiac,47.5,49,R+ 1.5@@1.5,0.0426855,R
North Carolina,9/25 - 9/27@@23644,780 LV@@780,RMG Research,47,51,R+ 4@@4,0.0168759,R
North Carolina,9/23 - 9/29@@23642,401 LV@@401,Global Strategy Group/North Star Opinion Research,47,47.5,R+ 0.5@@.5,0.0125722,R
North Carolina,7/19 - 7/20@@23576,573 RV@@573,Public Policy Polling,44,48,R+ 4@@4,0,R
North Carolina,9/17 - 9/21@@23636,682 LV@@682,NYT/Siena,46,48,R+ 2@@2,0,R
North Carolina,9/19 - 9/22@@23638,"1,078 LV@@1078",Rasmussen Reports,46,49,R+ 3@@3,0,R
North Carolina,7/31 - 8/8@@23588,600 LV@@600,GSG/GBAO,46,47,R+ 1@@1,0,R
North Carolina,9/15 - 9/18@@23634,"1,000 LV@@1000",Emerson College,49.7,49.3,D+ 0.4@@-.4,0,D
North Carolina,9/11 - 9/13@@23630,973 LV@@973,TIPP Insights,45.9,48.9,R+ 3@@3,0,R
North Carolina,8/25 - 8/28@@23613,775 LV@@775,Emerson College,49,49.9,R+ 0.9@@.9,0,R
North Carolina,9/20 - 9/25@@23639,931 LV@@931,SSRS,48,48,Even@@0,0,E
North Carolina,9/19 - 9/24@@23638,"1,348 LV@@1348",Marist College,49,49,Even@@0,0,E
North Carolina,7/26 - 8/2@@23583,403 LV@@403,Benenson Strategy/GS Strategy,47,45.5,D+ 1.5@@-1.5,0,D
North Carolina,9/6 - 9/9@@23625,495 LV@@495,Redfield & Wilton,45,44,D+ 1@@-1,0,D
North Carolina,9/1 - 9/3@@23620,804 RV@@804,Patriot Polling,47.5,50,R+ 2.5@@2.5,0,R
North Carolina,9/18 - 9/20@@23637,802 LV@@802,Meredith College,48,48,Even@@0,0,E
North Carolina,8/23 - 9/3@@23611,940 LV@@940,YouGov,47,48,R+ 1@@1,0,R
North Carolina,9/20 - 9/24@@23639,787 LV@@787,Beacon Research/Shaw & Co.,48,49.5,R+ 1.5@@1.5,0,R
North Carolina,7/22 - 7/24@@23579,586 LV@@586,Redfield & Wilton,43,46,R+ 3@@3,0,R
North Carolina,8/25 - 8/28@@23613,812 LV@@812,Redfield & Wilton,44,45,R+ 1@@1,0,R
North Carolina,9/15 - 9/16@@23634,600 LV@@600,Cygnal,45.3,45.6,R+ 0.3@@.3,0,R
North Carolina,9/16 - 9/19@@23635,868 LV@@868,Redfield & Wilton,47,48,R+ 1@@1,0,R
North Carolina,8/23 - 8/26@@23611,645 LV@@645,Morning Consult,48.5,48.5,Even@@0,0,E
North Carolina,8/4 - 8/5@@23592,600 LV@@600,Cygnal,44.1,47.2,R+ 3.1@@3.1,0,R
North Carolina,9/19 - 9/25@@23638,411 LV@@411,Benenson Strategy/GS Strategy,49,47.5,D+ 1.5@@-1.5,0,D
North Carolina,7/31 - 8/3@@23588,714 LV@@714,Redfield & Wilton,41,44,R+ 3@@3,0,R
North Carolina,9/19 - 9/25@@23638,828 LV@@828,Morning Consult,49.5,47.5,D+ 2@@-2,0,D
North Carolina,8/9 - 8/14@@23597,655 LV@@655,NYT/Siena,47.5,45.5,D+ 2@@-2,0,D
North Carolina,9/11 - 9/17@@23630,600 LV@@600,"Fabrizio, Lee/Impact Research",46.5,49,R+ 2.5@@2.5,0,R
North Carolina,9/4 - 9/8@@23623,940 LV@@940,Quinnipiac,49.5,46.5,D+ 3@@-3,0,D
North Carolina,9/11 - 9/12@@23630,"1,094 LV@@1094",Trafalgar Group,46,48.4,R+ 2.4@@2.4,0,R
North Carolina,9/20 - 9/23@@23639,600 RV@@600,Bullfinch,49,48,D+ 1@@-1,0,D
North Carolina,9/3 - 9/16@@23622,"1,094 LV@@1094",Focaldata,46.45,52.15,R+ 5.7@@5.7,0,R
North Carolina,9/5 - 9/6@@23624,619 LV@@619,Florida Atlantic/Mainstreet,47,48,R+ 1@@1,0,R
North Carolina,8/5 - 8/9@@23593,802 RV@@802,YouGov,46,46,Even@@0,0,E
North Carolina,9/16 - 9/18@@23635,600 LV@@600,Victory Insights,44.9,48.5,R+ 3.6@@3.6,0,R
North Carolina,8/14 - 8/20@@23602,600 LV@@600,Spry Strategies,46.85,46.25,D+ 0.6@@-.6,0,D
North Carolina,9/20 - 9/25@@23639,"1,173 LV@@1173",AtlasIntel,50.65,47.7,D+ 3@@-3,0,D
North Carolina,8/29 - 8/31@@23617,800 LV@@800,InsiderAdvantage,48.4,49.2,R+ 0.8@@.8,0,R
North Carolina,9/4 - 9/13@@23623,800 RV@@800,Elon University,46,45,D+ 1@@-1,0,D
North Carolina,9/23 - 9/26@@23642,"1,005 LV@@1005",East Carolina University,47.1,49.4,R+ 2.3@@2.3,0,R
North Carolina,8/6 - 8/16@@23594,702 LV@@702,Focaldata,48.4,47.9,D+ 0.5@@-.5,0,D
North Carolina,7/24 - 7/28@@23581,706 RV@@706,Morning Consult,45,46.5,R+ 1.5@@1.5,0,R
North Carolina,8/12 - 8/15@@23600,601 LV@@601,Redfield & Wilton,44,47,R+ 3@@3,0,R
North Carolina,9/9 - 9/18@@23628,"1,314 LV@@1314",Morning Consult,49.33,47.16,D+ 2.2@@-2.2,0,D
North Carolina,8/19 - 8/21@@23607,941 LV@@941,SurveyUSA,47,47,Even@@0,0,E
North Carolina,9/4 - 9/7@@23623,676 LV@@676,SurveyUSA,49,46,D+ 3@@-3,0,D
North Carolina,8/6 - 8/8@@23594,"1,082 LV@@1082",Trafalgar Group,45.2,48.9,R+ 3.7@@3.7,0,R
North Carolina,9/20 - 9/29@@23639,589 LV@@589,High Point University,48,48,Even@@0,0,E
North Carolina,8/26 - 8/28@@23614,920 LV@@920,East Carolina University,46.9,47.6,R+ 0.7@@.7,0,R
North Carolina,8/30 - 9/8@@23618,"1,369 LV@@1369",Morning Consult,48.22,47.82,D+ 0.4@@-.4,0,D
North Carolina,8/23 - 8/26@@23611,999 RV@@999,Beacon Research/Shaw & Co.,48,49,R+ 1@@1,0,R
