Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Florida,10/23 - 11/1@@23672,"2,022 LV@@2022",Morning Consult,46.1,50.9,R+ 4.8@@4.8,1.023295,R
Florida,10/26 - 10/28@@23675,600 LV@@600,Cygnal,43.1,48.2,R+ 5.1@@5.1,0.9674579,R
Florida,10/23 - 10/25@@23672,"1,227 LV@@1227",St. Pete Polls,44.6,50.3,R+ 5.7@@5.7,0.9054291,R
Florida,11/2 - 11/3@@23682,450 LV@@450,Research Co.,44,51,R+ 7@@7,0.8516576,R
Florida,10/18 - 10/20@@23667,860 LV@@860,Emerson College,45.9,53.6,R+ 7.7@@7.7,0.7545886,R
Florida,11/1 - 11/2@@23681,400 LV@@400,Victory Insights,46.9,51.2,R+ 4.3@@4.3,0.7138817,R
Florida,10/19 - 10/27@@23668,897 LV@@897,Florida Atlantic/Mainstreet,44,53,R+ 9@@9,0.6598822,R
Florida,10/25 - 11/1@@23674,452 LV@@452,Stetson University,46,53,R+ 7@@7,0.6443478,R
Florida,10/1 - 10/25@@23650,"5,916 LV@@5916",YouGov,46,52,R+ 6@@6,0.6061702,R
Florida,10/16 - 10/22@@23665,"1,234 LV@@1234",Hunt Research,44.25,49.8,R+ 5.5@@5.5,0.553894,R
Florida,10/7 - 10/18@@23656,977 LV@@977,University of North Florida,43,53,R+ 10@@10,0.5420178,R
Florida,10/3 - 11/1@@23652,"1,250 LV@@1250",Focaldata,45,52,R+ 7@@7,0.5274271,R
Florida,10/14 - 10/17@@23663,788 LV@@788,RMG Research,47,52,R+ 5@@5,0.4819365,R
Florida,10/3 - 10/7@@23652,"1,257 LV@@1257",Marist College,47,51,R+ 4@@4,0.3855123,R
Florida,10/16 - 10/18@@23665,"1,275 LV@@1275",Redfield & Wilton,45,49,R+ 4@@4,0.3644768,R
Florida,10/7 - 10/17@@23656,"1,076 LV@@1076",YouGov,46,51,R+ 5@@5,0.3065549,R
Florida,10/10 - 10/20@@23659,614 LV@@614,Cherry Communications,45,51,R+ 6@@6,0.3008187,R
Florida,9/29 - 10/6@@23648,622 LV@@622,NYT/Siena,40.5,54,R+ 13.5@@13.5,0.2491266,R
Florida,10/5 - 10/8@@23654,818 RV@@818,Tarrance Group,44,51,R+ 7@@7,0.2461768,R
Florida,10/12 - 10/14@@23661,"1,009 LV@@1009",Redfield & Wilton,44,50,R+ 6@@6,0.2370312,R
Florida,10/1 - 10/4@@23650,625 LV@@625,Mason-Dixon Polling,43,49,R+ 6@@6,0.2116613,R
Florida,9/27 - 10/2@@23646,"2,946 LV@@2946",Redfield & Wilton,45,49,R+ 4@@4,0.1236129,R
Florida,9/25 - 9/27@@23644,774 LV@@774,RMG Research,48,50,R+ 2@@2,0.0613826,R
Florida,9/25 - 9/26@@23644,808 RV@@808,Public Policy Polling,45.5,49.5,R+ 4@@4,0.0592371,R
Florida,9/22 - 9/25@@23641,600 LV@@600,Victory Insights,44.9,46.9,R+ 2@@2,0.0254741,R
Florida,9/23 - 9/25@@23642,"1,200 LV@@1200",McLaughlin & Associates,46,51,R+ 5@@5,0.0235997,R
Florida,8/25 - 8/28@@23613,850 LV@@850,Redfield & Wilton,43,48,R+ 5@@5,0,R
Florida,8/12 - 8/15@@23600,"1,296 LV@@1296",Redfield & Wilton,43,48,R+ 5@@5,0,R
Florida,9/6 - 9/9@@23625,"1,465 LV@@1465",Redfield & Wilton,44,50,R+ 6@@6,0,R
Florida,9/16 - 9/19@@23635,"1,602 LV@@1602",Redfield & Wilton,45,50,R+ 5@@5,0,R
Florida,9/3 - 9/5@@23622,815 LV@@815,Emerson College,47.6,51.1,R+ 3.5@@3.5,0,R
Florida,8/7 - 8/11@@23595,500 LV@@500,Suffolk University,41.8,46.8,R+ 5@@5,0,R
Florida,8/6 - 8/8@@23594,800 LV@@800,McLaughlin & Associates,44,52,R+ 8@@8,0,R
Florida,8/15 - 8/26@@23603,600 LV@@600,Cherry Communications,45,52,R+ 7@@7,0,R
Florida,8/10 - 8/11@@23598,"1,040 LV@@1040",Florida Atlantic/Mainstreet,46,48.5,R+ 2.5@@2.5,0,R
Florida,9/20 - 9/23@@23639,600 RV@@600,Bullfinch,47,48,R+ 1@@1,0,R
Florida,7/24 - 7/27@@23581,774 LV@@774,University of North Florida,42,49,R+ 7@@7,0,R
Florida,7/22 - 7/24@@23579,572 LV@@572,Redfield & Wilton,39,47,R+ 8@@8,0,R
Florida,7/31 - 8/3@@23588,976 LV@@976,Redfield & Wilton,41,47,R+ 6@@6,0,R
Florida,8/21 - 8/22@@23609,837 RV@@837,Public Policy Polling,46,49.5,R+ 3.5@@3.5,0,R
Florida,7/15 - 7/16@@23572,800 LV@@800,InsiderAdvantage,39,49.3,R+ 10.3@@10.3,0,R
Florida,9/9 - 9/18@@23628,"2,948 LV@@2948",Morning Consult,46.8,49.52,R+ 2.7@@2.7,0,R
Florida,8/30 - 9/8@@23618,"3,182 LV@@3182",Morning Consult,47.05,49.12,R+ 2.1@@2.1,0,R
Florida,7/19 - 7/24@@23576,988 LV@@988,Targoz Market Research,42,47,R+ 5@@5,0,R
