Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Texas,11/1 - 11/4@@23681,"2,434 LV@@2434",AtlasIntel,43.95,54.1,R+ 10.1@@10.1,1.955314,R
Texas,10/23 - 10/26@@23672,"1,180 LV@@1180",NYT/Siena,41,51.5,R+ 10.5@@10.5,1.247086,R
Texas,10/26 - 10/28@@23675,600 LV@@600,Cygnal,43,51,R+ 8@@8,0.9586907,R
Texas,10/22 - 10/31@@23671,"2,120 LV@@2120",Morning Consult,45,51.7,R+ 6.7@@6.7,0.9124334,R
Texas,10/18 - 10/21@@23667,815 LV@@815,Emerson College,45.9,53.1,R+ 7.2@@7.2,0.7599373,R
Texas,10/24 - 10/25@@23673,"1,002 LV@@1002",Rasmussen Reports,44,50,R+ 6@@6,0.6577399,R
Texas,10/1 - 10/25@@23650,"6,473 LV@@6473",YouGov,47,51,R+ 4@@4,0.5181959,R
Texas,10/14 - 10/21@@23663,956 LV@@956,"University of Texas, Tyler",46,51,R+ 5@@5,0.5105978,R
Texas,10/6 - 10/15@@23655,"2,048 LV@@2048",Morning Consult,46,50,R+ 4@@4,0.3562059,R
Texas,10/3 - 10/7@@23652,"1,186 LV@@1186",Marist College,46,53,R+ 7@@7,0.3352367,R
Texas,10/7 - 10/17@@23656,"1,075 LV@@1075",YouGov,46,51,R+ 5@@5,0.2527057,R
Texas,10/2 - 10/10@@23651,"1,091 LV@@1091",YouGov,46,51,R+ 5@@5,0.1914793,R
Texas,10/2 - 10/6@@23651,775 LV@@775,Florida Atlantic/Mainstreet,45,50,R+ 5@@5,0.1873845,R
Texas,9/29 - 10/4@@23648,617 LV@@617,NYT/Siena,43,49.5,R+ 6.5@@6.5,0.1712317,R
Texas,9/26 - 10/10@@23645,"1,329 LV@@1329",University of Houston,46,51,R+ 5@@5,0.1684223,R
Texas,10/1 - 10/4@@23650,533 LV@@533,CWS Research,43,48,R+ 5@@5,0.0983264,R
Texas,9/3 - 9/5@@23622,845 LV@@845,Emerson College,48,50.9,R+ 2.9@@2.9,0,R
Texas,9/13 - 9/18@@23632,"1,200 LV@@1200",Texas Hispanic Policy Foundation,44,50,R+ 6@@6,0,R
Texas,9/4 - 9/9@@23623,504 LV@@504,CWS Research,41,51,R+ 10@@10,0,R
Texas,8/24 - 8/29@@23612,800 RV@@800,Lake Research Partners,43,51,R+ 8@@8,0,R
Texas,9/9 - 9/18@@23628,"2,716 LV@@2716",Morning Consult,45.77,49.58,R+ 3.8@@3.8,0,R
Texas,8/5 - 8/16@@23593,"1,365 LV@@1365",University of Houston,44.6,49.5,R+ 4.9@@4.9,0,R
Texas,9/25 - 9/26@@23644,759 RV@@759,Public Policy Polling,45,50,R+ 5@@5,0,R
Texas,8/23 - 8/31@@23611,"1,200 RV@@1200",YouGov,44,49,R+ 5@@5,0,R
Texas,8/21 - 8/22@@23609,725 RV@@725,Public Policy Polling,43,47,R+ 4@@4,0,R
Texas,9/22 - 9/24@@23641,950 LV@@950,Emerson College,46.7,52.3,R+ 5.6@@5.6,0,R
Texas,8/30 - 9/8@@23618,"2,940 LV@@2940",Morning Consult,43.43,51.75,R+ 8.3@@8.3,0,R
Texas,9/25 - 9/27@@23644,779 LV@@779,RMG Research,46,53,R+ 7@@7,0,R
