Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
New Hampshire,10/28 - 10/29@@23677,"2,791 LV@@2791",Saint Anselm College,51,46,D+ 5@@-5,1.403683,D
New Hampshire,10/29 - 11/2@@23678,"2,814 LV@@2814",University of New Hampshire,51,46,D+ 5@@-5,1.163203,D
New Hampshire,10/21 - 10/23@@23670,915 LV@@915,Emerson College,50.9,47.2,D+ 3.7@@-3.7,0.9144905,D
New Hampshire,10/24 - 10/28@@23673,901 LV@@901,Rasmussen Reports,48,47,D+ 1@@-1,0.7204,D
New Hampshire,10/24 - 10/26@@23673,622 RV@@622,Praecones Analytica,49.8,50.2,R+ 0.4@@.4,0.6882119,R
New Hampshire,10/10 - 10/23@@23659,600 LV@@600,"University of Massachusetts, Lowell",50,43,D+ 7@@-7,0.5436219,D
New Hampshire,10/5 - 10/18@@23654,"2,211 RV@@2211",Dartmouth Poll,58.5,37.7,D+ 20.8@@-20.8,0.3373426,D
New Hampshire,10/1 - 10/25@@23650,375 LV@@375,YouGov,52,45,D+ 7@@-7,0.2889608,D
New Hampshire,10/2 - 10/10@@23651,600 LV@@600,"University of Massachusetts, Lowell",50,41,D+ 9@@-9,0.2222439,D
New Hampshire,10/1 - 10/2@@23650,"2,104 LV@@2104",Saint Anselm College,51,44,D+ 7@@-7,0.1321566,D
New Hampshire,8/15 - 8/19@@23603,"2,048 LV@@2048",University of New Hampshire,51,45,D+ 6@@-6,0,D
New Hampshire,8/13 - 8/14@@23601,"1,656 RV@@1656",Saint Anselm College,51,44,D+ 7@@-7,0,D
New Hampshire,7/23 - 7/25@@23580,"2,875 LV@@2875",University of New Hampshire,51,44.5,D+ 6.5@@-6.5,0,D
New Hampshire,7/24 - 7/25@@23581,"2,083 RV@@2083",Saint Anselm College,50,44,D+ 6@@-6,0,D
New Hampshire,7/19 - 7/21@@23576,601 RV@@601,Praecones Analytica,39.3,40.2,R+ 0.9@@.9,0,R
New Hampshire,7/26 - 7/28@@23583,"1,000 RV@@1000",Emerson College,50.05,44.5,D+ 5.5@@-5.5,0,D
New Hampshire,9/12 - 9/16@@23631,"1,695 LV@@1695",University of New Hampshire,54,43,D+ 11@@-11,0,D
New Hampshire,9/11 - 9/12@@23630,"2,241 LV@@2241",Saint Anselm College,51,43,D+ 8@@-8,0,D
