Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Michigan,10/29 - 11/2@@23678,998 LV@@998,NYT/Siena,46,46,Even@@0,1.501305,E
Michigan,10/27 - 10/30@@23676,"1,214 LV@@1214",Marist College,51,48,D+ 3@@-3,1.3491,D
Michigan,11/1 - 11/2@@23681,"1,198 LV@@1198",AtlasIntel,48,49.5,R+ 1.5@@1.5,1.221497,R
Michigan,10/24 - 10/28@@23673,"1,003 LV@@1003",The Washington Post,47,46,D+ 1@@-1,1.193365,D
Michigan,10/24 - 10/28@@23673,988 LV@@988,Beacon Research/Shaw & Co.,48.5,47.5,D+ 1@@-1,1.131644,D
Michigan,10/30 - 10/31@@23679,"1,136 LV@@1136",AtlasIntel,48.5,49.25,R+ 0.8@@.8,1.096077,R
Michigan,10/25 - 10/27@@23674,"1,000 LV@@1000",Emerson College,49.3,49.8,R+ 0.5@@.5,1.075705,R
Michigan,10/25 - 10/31@@23674,942 LV@@942,YouGov,49,46,D+ 3@@-3,0.9829872,D
Michigan,10/27 - 10/30@@23676,600 LV@@600,Echelon Insights,47.5,47.5,Even@@0,0.9114899,E
Michigan,10/25 - 10/29@@23674,983 LV@@983,AtlasIntel,48,49.25,R+ 1.3@@1.3,0.8918834,R
Michigan,10/29 - 10/31@@23678,800 LV@@800,OnMessage,48,48,Even@@0,0.8482451,E
Michigan,10/24 - 10/27@@23673,500 LV@@500,Suffolk University,47,47.4,R+ 0.4@@.4,0.8206896,R
Michigan,11/1 - 11/2@@23681,800 LV@@800,InsiderAdvantage,47,47,Even@@0,0.8140967,E
Michigan,10/24 - 10/28@@23673,600 LV@@600,EPIC-MRA,48,45,D+ 3@@-3,0.8103791,D
Michigan,10/17 - 10/21@@23666,"1,136 LV@@1136",Quinnipiac,49.5,46,D+ 3.5@@-3.5,0.7332525,D
Michigan,10/22 - 10/31@@23671,"1,108 LV@@1108",Morning Consult,48.5,47.5,D+ 1@@-1,0.7222853,D
Michigan,10/23 - 10/27@@23672,400 LV@@400,Susquehanna Polling,51.7,46.6,D+ 5.1@@-5.1,0.7022606,D
Michigan,10/16 - 10/24@@23665,600 LV@@600,"University of Massachusetts, Lowell",49,45,D+ 4@@-4,0.6980417,D
Michigan,10/24 - 11/1@@23673,908 LV@@908,Rasmussen Reports,49,48,D+ 1@@-1,0.6864935,D
Michigan,11/1 - 11/3@@23681,858 RV@@858,Patriot Polling,49.2,48.5,D+ 0.7@@-.7,0.6864092,D
Michigan,10/23 - 10/28@@23672,726 LV@@726,SSRS,48,43,D+ 5@@-5,0.6774729,D
Michigan,10/22 - 10/24@@23671,600 LV@@600,Glengariff Group,46.7,43.7,D+ 3@@-3,0.6629801,D
Michigan,10/26 - 10/27@@23675,800 LV@@800,InsiderAdvantage,47.9,48.5,R+ 0.6@@.6,0.6248074,R
Michigan,10/12 - 10/17@@23661,"1,529 LV@@1529",AtlasIntel,47.05,49.9,R+ 2.9@@2.9,0.6183231,R
Michigan,10/28 - 10/31@@23677,"1,731 LV@@1731",Redfield & Wilton,47,47,Even@@0,0.5932965,E
Michigan,10/18 - 10/20@@23667,"1,090 LV@@1090",Trafalgar Group,44.2,46,R+ 1.8@@1.8,0.5352972,R
Michigan,10/1 - 10/25@@23650,"2,336 LV@@2336",YouGov,51,46,D+ 5@@-5,0.5154731,D
Michigan,10/24 - 10/26@@23673,796 RV@@796,Patriot Polling,49,50,R+ 1@@1,0.4701771,R
Michigan,10/10 - 10/16@@23659,789 LV@@789,RMG Research,49,49,Even@@0,0.3755666,E
Michigan,10/16 - 10/20@@23665,705 LV@@705,Morning Consult,49.5,46,D+ 3.5@@-3.5,0.3453598,D
Michigan,10/11 - 10/17@@23660,600 LV@@600,Bullfinch,52,44,D+ 8@@-8,0.3429748,D
Michigan,10/5 - 10/8@@23654,950 LV@@950,Emerson College,49.7,49.6,D+ 0.1@@-.1,0.3364441,D
Michigan,10/25 - 10/27@@23674,728 LV@@728,Redfield & Wilton,49,48,D+ 1@@-1,0.3166881,D
Michigan,9/30 - 10/15@@23649,687 LV@@687,The Washington Post,49,47,D+ 2@@-2,0.3122928,D
Michigan,10/20 - 10/22@@23669,"1,115 LV@@1115",Redfield & Wilton,47,47,Even@@0,0.2773776,E
Michigan,10/9 - 10/14@@23658,"1,058 LV@@1058",Rasmussen Reports,48,48,Even@@0,0.2736295,E
Michigan,10/3 - 10/7@@23652,"1,007 LV@@1007",Quinnipiac,47,50.5,R+ 3.5@@3.5,0.2694971,R
Michigan,10/6 - 10/15@@23655,"1,065 LV@@1065",Morning Consult,49,47,D+ 2@@-2,0.2523685,D
Michigan,10/8 - 10/9@@23657,800 LV@@800,InsiderAdvantage,46,48,R+ 2@@2,0.2394269,R
Michigan,10/7 - 10/11@@23656,600 LV@@600,Marketing Resource Group,44.9,44,D+ 0.9@@-.9,0.2225006,D
