Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Georgia,10/24 - 11/1@@23673,"1,004 LV@@1004",NYT/Siena,47,46.5,D+ 0.5@@-.5,1.327692,D
Georgia,10/30 - 11/2@@23679,800 LV@@800,Emerson College,49.3,49.8,R+ 0.5@@.5,1.219034,R
Georgia,11/1 - 11/2@@23681,"1,174 LV@@1174",AtlasIntel,47.2,49.35,R+ 2.1@@2.1,1.15941,R
Georgia,10/30 - 10/31@@23679,"1,212 LV@@1212",AtlasIntel,47.5,49.45,R+ 2@@2,1.077533,R
Georgia,10/25 - 10/29@@23674,"1,429 LV@@1429",AtlasIntel,47.3,50.55,R+ 3.3@@3.3,0.9960957,R
Georgia,11/2 - 11/3@@23682,800 LV@@800,InsiderAdvantage,47.7,48.7,R+ 1@@1,0.9923163,R
Georgia,10/25 - 10/31@@23674,939 LV@@939,YouGov,47.5,49,R+ 1.5@@1.5,0.9577893,R
Georgia,10/25 - 10/31@@23674,972 LV@@972,Data for Progress,49,48,D+ 1@@-1,0.9401326,D
Georgia,10/17 - 10/22@@23666,"1,193 LV@@1193",Marist College,49,49,Even@@0,0.915909,E
Georgia,11/1 - 11/3@@23681,818 RV@@818,Patriot Polling,48.6,50.4,R+ 1.8@@1.8,0.8143272,R
Georgia,10/25 - 10/28@@23674,910 LV@@910,Rasmussen Reports,46,51,R+ 5@@5,0.7032517,R
Georgia,10/23 - 10/28@@23672,732 LV@@732,SSRS,47,48,R+ 1@@1,0.6670855,R
Georgia,10/24 - 10/26@@23673,"1,087 LV@@1087",Trafalgar Group,45.9,48.3,R+ 2.4@@2.4,0.6552249,R
Georgia,10/21 - 10/30@@23670,"1,009 LV@@1009",Morning Consult,48,49.6,R+ 1.6@@1.6,0.6401165,R
Georgia,10/21 - 10/24@@23670,829 LV@@829,National Public Affairs,47,49,R+ 2@@2,0.6109015,R
Georgia,10/12 - 10/17@@23661,"1,411 LV@@1411",AtlasIntel,48.25,49.8,R+ 1.5@@1.5,0.609042,R
Georgia,10/17 - 10/25@@23666,"1,126 LV@@1126",The Citadel,47,49,R+ 2@@2,0.58358,R
Georgia,10/14 - 10/16@@23663,813 LV@@813,TIPP Insights,48.65,48.5,D+ 0.2@@-.2,0.5826843,D
Georgia,10/28 - 10/31@@23677,"1,779 LV@@1779",Redfield & Wilton,47,48,R+ 1@@1,0.5630317,R
Georgia,10/1 - 10/25@@23650,"2,663 LV@@2663",YouGov,46,51,R+ 5@@5,0.5599149,R
Georgia,10/10 - 10/14@@23659,"1,328 LV@@1328",Quinnipiac,45.5,52,R+ 6.5@@6.5,0.5143946,R
Georgia,10/7 - 10/16@@23656,"1,000 LV@@1000",University of Georgia,43.4,47,R+ 3.6@@3.6,0.4134687,R
Georgia,10/9 - 10/14@@23658,701 LV@@701,East Carolina University,45.8,48.9,R+ 3.1@@3.1,0.3812865,R
Georgia,10/5 - 10/8@@23654,"1,000 LV@@1000",Emerson College,49.8,49.7,D+ 0.1@@-.1,0.3693665,D
Georgia,10/16 - 10/20@@23665,855 LV@@855,Morning Consult,48,49.5,R+ 1.5@@1.5,0.3682672,R
Georgia,10/14 - 10/15@@23663,800 RV@@800,InsiderAdvantage,47,49,R+ 2@@2,0.365334,R
Georgia,9/30 - 10/15@@23649,730 LV@@730,The Washington Post,51,47,D+ 4@@-4,0.3589574,D
Georgia,10/25 - 10/27@@23674,"1,112 LV@@1112",Redfield & Wilton,47,48,R+ 1@@1,0.3461328,R
Georgia,10/7 - 10/10@@23656,731 LV@@731,RMG Research,47,50,R+ 3@@3,0.3024678,R
Georgia,10/20 - 10/22@@23669,"1,168 LV@@1168",Redfield & Wilton,47,48,R+ 1@@1,0.260329,R
Georgia,10/6 - 10/15@@23655,"1,002 LV@@1002",Morning Consult,48,49,R+ 1@@1,0.258735,R
Georgia,10/7 - 10/8@@23656,"1,089 LV@@1089",Trafalgar Group,44.9,46.2,R+ 1.3@@1.3,0.2499338,R
Georgia,10/6 - 10/9@@23655,800 LV@@800,"Fabrizio, Lee/McLaughlin",45,50,R+ 5@@5,0.2036463,R
Georgia,10/16 - 10/18@@23665,"1,019 LV@@1019",Redfield & Wilton,47,48,R+ 1@@1,0.1961386,R
Georgia,9/28 - 10/8@@23647,600 RV@@600,Fabrizio/GBAO,47,45.5,D+ 1.5@@-1.5,0.1609269,D
Georgia,10/12 - 10/14@@23661,637 LV@@637,Redfield & Wilton,47,47,Even@@0,0.1265313,E
Georgia,9/27 - 10/2@@23646,"3,783 LV@@3783",Redfield & Wilton,47,47,Even@@0,0.1222227,E
Georgia,9/29 - 9/30@@23648,800 LV@@800,InsiderAdvantage,48.3,48.1,D+ 0.2@@-.2,0.115939,D
Georgia,10/8 - 10/9@@23657,608 LV@@608,Redfield & Wilton,47,48,R+ 1@@1,0.1003098,R
Georgia,9/25 - 9/29@@23644,942 LV@@942,Quinnipiac,44.5,50,R+ 5.5@@5.5,0.0965362,R
Georgia,9/24 - 10/2@@23643,500 LV@@500,OnMessage,44,47,R+ 3@@3,0.0824035,R
Georgia,9/23 - 9/29@@23642,400 LV@@400,Global Strategy Group/North Star Opinion Research,46.5,47,R+ 0.5@@.5,0.0457817,R
Georgia,9/20 - 9/25@@23639,"1,200 LV@@1200",AtlasIntel,49,49.45,R+ 0.5@@.5,0.0240358,R
Georgia,7/22 - 7/23@@23579,800 RV@@800,Emerson College,46.1,48.5,R+ 2.4@@2.4,0,R
Georgia,7/9 - 7/18@@23566,"1,000 LV@@1000",University of Georgia,45.9,50.5,R+ 4.6@@4.6,0,R
Georgia,7/15 - 7/16@@23572,800 LV@@800,InsiderAdvantage,36.7,47.1,R+ 10.4@@10.4,0,R
Georgia,9/19 - 9/25@@23638,411 LV@@411,Benenson Strategy/GS Strategy,47,48.5,R+ 1.5@@1.5,0,R
Georgia,8/25 - 8/28@@23613,800 LV@@800,Emerson College,50.1,49,D+ 1.1@@-1.1,0,D
Georgia,8/23 - 8/26@@23611,737 LV@@737,Morning Consult,49,46.5,D+ 2.5@@-2.5,0,D
Georgia,8/23 - 8/29@@23611,617 LV@@617,SSRS,48,47,D+ 1@@-1,0,D
Georgia,8/23 - 8/26@@23611,"1,014 RV@@1014",Beacon Research/Shaw & Co.,49,47,D+ 2@@-2,0,D
