Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Pennsylvania,10/29 - 11/2@@23678,"1,527 LV@@1527",NYT/Siena,47.5,47.5,Even@@0,1.755751,E
Pennsylvania,11/1 - 11/2@@23681,"2,049 LV@@2049",AtlasIntel,47.6,49.35,R+ 1.8@@1.8,1.422833,R
Pennsylvania,10/27 - 10/30@@23676,"1,400 LV@@1400",Marist College,50,48,D+ 2@@-2,1.413653,D
Pennsylvania,10/26 - 10/30@@23675,"1,204 LV@@1204",The Washington Post,48,47,D+ 1@@-1,1.377467,D
Pennsylvania,10/24 - 10/28@@23673,"2,186 LV@@2186",Quinnipiac,46.5,48,R+ 1.5@@1.5,1.300709,R
Pennsylvania,10/30 - 10/31@@23679,"1,738 LV@@1738",AtlasIntel,47.65,48.95,R+ 1.3@@1.3,1.220002,R
Pennsylvania,10/24 - 10/28@@23673,"1,057 LV@@1057",Beacon Research/Shaw & Co.,48.5,49,R+ 0.5@@.5,1.157517,R
Pennsylvania,10/24 - 10/28@@23673,824 RV@@824,Monmouth University,46,47,R+ 1@@1,0.9926303,R
Pennsylvania,10/25 - 10/31@@23674,908 LV@@908,Data for Progress,50,48,D+ 2@@-2,0.9430497,D
Pennsylvania,10/25 - 10/29@@23674,"1,299 LV@@1299",AtlasIntel,46.75,49.15,R+ 2.4@@2.4,0.9388415,R
Pennsylvania,10/27 - 10/30@@23676,500 LV@@500,Suffolk University,48.6,48.6,Even@@0,0.9175497,E
Pennsylvania,10/27 - 10/30@@23676,600 LV@@600,Echelon Insights,46,51.5,R+ 5.5@@5.5,0.9114899,R
Pennsylvania,10/27 - 10/30@@23676,460 LV@@460,Muhlenberg College,49,47,D+ 2@@-2,0.8861227,D
Pennsylvania,11/1 - 11/3@@23681,"1,089 LV@@1089",Trafalgar Group,46.7,48.4,R+ 1.7@@1.7,0.8639613,R
Pennsylvania,11/1 - 11/3@@23681,903 RV@@903,Patriot Polling,48.7,49.6,R+ 0.9@@.9,0.8568271,R
Pennsylvania,10/29 - 10/31@@23678,800 LV@@800,OnMessage,47,49,R+ 2@@2,0.8482451,R
Pennsylvania,10/21 - 10/22@@23670,860 LV@@860,Emerson College,49,50.7,R+ 1.7@@1.7,0.8386835,R
Pennsylvania,11/1 - 11/2@@23681,800 LV@@800,InsiderAdvantage,48,49,R+ 1@@1,0.8140967,R
Pennsylvania,10/22 - 10/31@@23671,"1,538 LV@@1538",Morning Consult,48,48,Even@@0,0.7773327,E
Pennsylvania,10/25 - 10/31@@23674,956 LV@@956,YouGov,50,47,D+ 3@@-3,0.7668516,D
Pennsylvania,10/16 - 10/23@@23665,800 LV@@800,"University of Massachusetts, Lowell",48,47,D+ 1@@-1,0.7308608,D
Pennsylvania,10/22 - 10/28@@23671,"1,273 LV@@1273",YouGov,49,49,Even@@0,0.7195907,E
Pennsylvania,10/22 - 10/26@@23671,600 LV@@600,North Star Opinion,47,47,Even@@0,0.7157949,E
Pennsylvania,10/23 - 10/28@@23672,819 LV@@819,SSRS,48,48,Even@@0,0.6960888,E
Pennsylvania,10/12 - 10/17@@23661,"2,048 LV@@2048",AtlasIntel,46.95,49.85,R+ 2.9@@2.9,0.6622104,R
Pennsylvania,10/25 - 10/28@@23674,849 LV@@849,Rasmussen Reports,47,49,R+ 2@@2,0.6506917,R
Pennsylvania,10/26 - 10/27@@23675,800 LV@@800,InsiderAdvantage,47.4,48.4,R+ 1@@1,0.63051,R
Pennsylvania,10/18 - 10/22@@23667,500 LV@@500,Susquehanna Polling,46,45.8,D+ 0.2@@-.2,0.6079308,D
Pennsylvania,10/28 - 10/31@@23677,"1,596 LV@@1596",Redfield & Wilton,48,48,Even@@0,0.5445994,E
Pennsylvania,10/1 - 10/25@@23650,"3,685 LV@@3685",YouGov,49,48,D+ 1@@-1,0.4272957,D
Pennsylvania,10/7 - 10/10@@23656,857 LV@@857,NYT/Siena,49.5,46,D+ 3.5@@-3.5,0.4251983,D
Pennsylvania,10/9 - 10/20@@23658,583 LV@@583,Franklin & Marshall College,49,50,R+ 1@@1,0.4197839,R
